Iteration;FunGanamosTodos;JavierMAlcalde;mmontenegro;HaroldMesias;radiocondell;cronicacurico;rtlcurico;luiscabello_cco;Mundo_Curico;Victor_Curico
0;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05
1;0.005553639966243862;0.005990832133729986;0.0023887932710699228;0.002147574705629537;0.003423749661539943;0.0030081146353351396;0.002934328626161185;0.0026430964743026047;0.002324522729909182;0.0019113084043787276
2;0.00766312422765466;0.006890867158256022;0.0033356697761496544;0.002843736337543983;0.0038368832061833774;0.0033991237183070904;0.0033093752076563533;0.0030008624961720284;0.002709629760409565;0.002303037742387184
3;0.010416262407955401;0.008760041028376294;0.004536003507664233;0.003710426731528799;0.004727080834231512;0.0041928926098332465;0.004098204671362564;0.0037983297534896097;0.0035325640684874264;0.0030023620876584952
4;0.01216111403923881;0.009760805340427054;0.00557784339880123;0.004371757729153683;0.005208376491695915;0.004620820854999703;0.0045244373342631095;0.00421676992310842;0.003964420802123683;0.00341475155953434
5;0.014149082549208776;0.010918636558581645;0.006688811300810258;0.005063520485332383;0.005770053402776343;0.005119623306623458;0.0050200769397027965;0.00470542893676239;0.0044689306059301215;0.003876161336367842
6;0.015875468814831987;0.011867943411339758;0.0077754027717016295;0.005713188529796799;0.006227855068298889;0.005525815242245433;0.005426209198683758;0.005101369306779989;0.004877447431770485;0.0042619286734361305
7;0.017666224371653005;0.01283497662951525;0.0088887760086577;0.006370675178913373;0.006693706146286695;0.005939677757291686;0.005839187482903833;0.005503905617666301;0.005293781209036921;0.004651504526766285
8;0.019391469401833342;0.013742270825314352;0.010002897127145543;0.007018756708552603;0.0071291586092816946;0.006326300037649889;0.0062261728633977;0.005879271245322183;0.005682286528278313;0.005018355225307943
9;0.021133134723984783;0.014645792778653995;0.011127929496897839;0.007669291769556941;0.007561957215063827;0.006710822468844009;0.006610810651025752;0.006252156550748876;0.006068625464741285;0.005382812149613817
